"","REF_DATE","City","Province","Components.of.population.growth","VALUE","Type.of.area","covid"
"6992","2022/2023","Barrie","ON","Net interprovincial migration",-1538,"CMA","Post-COVID"
"6993","2023/2024","Barrie","ON","Net interprovincial migration",-1269,"CMA","Post-COVID"
"6994","2017/2018","Barrie","ON","Net intraprovincial migration",1208,"CMA","Pre-COVID"
"6995","2018/2019","Barrie","ON","Net intraprovincial migration",2467,"CMA","Pre-COVID"
"6996","2019/2020","Barrie","ON","Net intraprovincial migration",3034,"CMA","Pre-COVID"
"6997","2020/2021","Barrie","ON","Net intraprovincial migration",3707,"CMA","COVID"
"6998","2021/2022","Barrie","ON","Net intraprovincial migration",4240,"CMA","COVID"
"6999","2022/2023","Barrie","ON","Net intraprovincial migration",3320,"CMA","Post-COVID"
"7000","2023/2024","Barrie","ON","Net intraprovincial migration",3870,"CMA","Post-COVID"
"7001","2017/2018","Barrie","ON","Net non-permanent residents",1430,"CMA","Pre-COVID"
"7002","2018/2019","Barrie","ON","Net non-permanent residents",1365,"CMA","Pre-COVID"
"7003","2019/2020","Barrie","ON","Net non-permanent residents",691,"CMA","Pre-COVID"
"7004","2020/2021","Barrie","ON","Net non-permanent residents",-445,"CMA","COVID"
"7005","2021/2022","Barrie","ON","Net non-permanent residents",3528,"CMA","COVID"
"7006","2022/2023","Barrie","ON","Net non-permanent residents",4841,"CMA","Post-COVID"
"7007","2023/2024","Barrie","ON","Net non-permanent residents",3596,"CMA","Post-COVID"
"7008","2017/2018","Barrie","ON","Residual deviation",-92,"CMA","Pre-COVID"
"7009","2018/2019","Barrie","ON","Residual deviation",-27,"CMA","Pre-COVID"
"7010","2019/2020","Barrie","ON","Residual deviation",63,"CMA","Pre-COVID"
"7011","2020/2021","Barrie","ON","Residual deviation",151,"CMA","COVID"
"7012","2017/2018","Greater Sudbury","ON","Net emigration",77,"CMA","Pre-COVID"
"7013","2018/2019","Greater Sudbury","ON","Net emigration",61,"CMA","Pre-COVID"
"7014","2019/2020","Greater Sudbury","ON","Net emigration",125,"CMA","Pre-COVID"
"7015","2020/2021","Greater Sudbury","ON","Net emigration",37,"CMA","COVID"
"7016","2021/2022","Greater Sudbury","ON","Net emigration",125,"CMA","COVID"
"7017","2022/2023","Greater Sudbury","ON","Net emigration",184,"CMA","Post-COVID"
"7018","2023/2024","Greater Sudbury","ON","Net emigration",190,"CMA","Post-COVID"
"7019","2017/2018","Greater Sudbury","ON","Returning emigrants",69,"CMA","Pre-COVID"
"7020","2018/2019","Greater Sudbury","ON","Returning emigrants",67,"CMA","Pre-COVID"
"7021","2019/2020","Greater Sudbury","ON","Returning emigrants",75,"CMA","Pre-COVID"
"7022","2020/2021","Greater Sudbury","ON","Returning emigrants",50,"CMA","COVID"
"7023","2021/2022","Greater Sudbury","ON","Returning emigrants",74,"CMA","COVID"
"7024","2022/2023","Greater Sudbury","ON","Returning emigrants",111,"CMA","Post-COVID"
"7025","2023/2024","Greater Sudbury","ON","Returning emigrants",115,"CMA","Post-COVID"
"7026","2017/2018","Greater Sudbury","ON","Net interprovincial migration",-44,"CMA","Pre-COVID"
"7027","2018/2019","Greater Sudbury","ON","Net interprovincial migration",30,"CMA","Pre-COVID"
"7028","2019/2020","Greater Sudbury","ON","Net interprovincial migration",-77,"CMA","Pre-COVID"
"7029","2020/2021","Greater Sudbury","ON","Net interprovincial migration",-84,"CMA","COVID"
"7030","2021/2022","Greater Sudbury","ON","Net interprovincial migration",-183,"CMA","COVID"
"7031","2022/2023","Greater Sudbury","ON","Net interprovincial migration",-273,"CMA","Post-COVID"
"7032","2023/2024","Greater Sudbury","ON","Net interprovincial migration",-224,"CMA","Post-COVID"
"7033","2017/2018","Greater Sudbury","ON","Net intraprovincial migration",209,"CMA","Pre-COVID"
"7034","2018/2019","Greater Sudbury","ON","Net intraprovincial migration",102,"CMA","Pre-COVID"
"7035","2019/2020","Greater Sudbury","ON","Net intraprovincial migration",340,"CMA","Pre-COVID"
"7036","2020/2021","Greater Sudbury","ON","Net intraprovincial migration",340,"CMA","COVID"
"7037","2021/2022","Greater Sudbury","ON","Net intraprovincial migration",852,"CMA","COVID"
"7038","2022/2023","Greater Sudbury","ON","Net intraprovincial migration",741,"CMA","Post-COVID"
"7039","2023/2024","Greater Sudbury","ON","Net intraprovincial migration",542,"CMA","Post-COVID"
"7040","2017/2018","Greater Sudbury","ON","Net non-permanent residents",1634,"CMA","Pre-COVID"
"7041","2018/2019","Greater Sudbury","ON","Net non-permanent residents",493,"CMA","Pre-COVID"
"7042","2019/2020","Greater Sudbury","ON","Net non-permanent residents",392,"CMA","Pre-COVID"
"7043","2020/2021","Greater Sudbury","ON","Net non-permanent residents",-131,"CMA","COVID"
"7044","2021/2022","Greater Sudbury","ON","Net non-permanent residents",1553,"CMA","COVID"
"7045","2022/2023","Greater Sudbury","ON","Net non-permanent residents",4271,"CMA","Post-COVID"
"7046","2023/2024","Greater Sudbury","ON","Net non-permanent residents",6232,"CMA","Post-COVID"
"7047","2017/2018","Greater Sudbury","ON","Residual deviation",607,"CMA","Pre-COVID"
"7048","2018/2019","Greater Sudbury","ON","Residual deviation",654,"CMA","Pre-COVID"
"7049","2019/2020","Greater Sudbury","ON","Residual deviation",714,"CMA","Pre-COVID"
"7050","2020/2021","Greater Sudbury","ON","Residual deviation",790,"CMA","COVID"
"7051","2017/2018","Thunder Bay","ON","Net emigration",145,"CMA","Pre-COVID"
"7052","2018/2019","Thunder Bay","ON","Net emigration",96,"CMA","Pre-COVID"
"7053","2019/2020","Thunder Bay","ON","Net emigration",61,"CMA","Pre-COVID"
"7054","2020/2021","Thunder Bay","ON","Net emigration",47,"CMA","COVID"
"7055","2021/2022","Thunder Bay","ON","Net emigration",142,"CMA","COVID"
"7056","2022/2023","Thunder Bay","ON","Net emigration",106,"CMA","Post-COVID"
"7057","2023/2024","Thunder Bay","ON","Net emigration",109,"CMA","Post-COVID"
"7058","2017/2018","Thunder Bay","ON","Returning emigrants",71,"CMA","Pre-COVID"
"7059","2018/2019","Thunder Bay","ON","Returning emigrants",95,"CMA","Pre-COVID"
"7060","2019/2020","Thunder Bay","ON","Returning emigrants",61,"CMA","Pre-COVID"
"7061","2020/2021","Thunder Bay","ON","Returning emigrants",41,"CMA","COVID"
"7062","2021/2022","Thunder Bay","ON","Returning emigrants",65,"CMA","COVID"
"7063","2022/2023","Thunder Bay","ON","Returning emigrants",66,"CMA","Post-COVID"
"7064","2023/2024","Thunder Bay","ON","Returning emigrants",69,"CMA","Post-COVID"
"7065","2017/2018","Thunder Bay","ON","Net interprovincial migration",-145,"CMA","Pre-COVID"
"7066","2018/2019","Thunder Bay","ON","Net interprovincial migration",-153,"CMA","Pre-COVID"
"7067","2019/2020","Thunder Bay","ON","Net interprovincial migration",-305,"CMA","Pre-COVID"
"7068","2020/2021","Thunder Bay","ON","Net interprovincial migration",-354,"CMA","COVID"
"7069","2021/2022","Thunder Bay","ON","Net interprovincial migration",-252,"CMA","COVID"
"7070","2022/2023","Thunder Bay","ON","Net interprovincial migration",-276,"CMA","Post-COVID"
"7071","2023/2024","Thunder Bay","ON","Net interprovincial migration",-205,"CMA","Post-COVID"
"7072","2017/2018","Thunder Bay","ON","Net intraprovincial migration",184,"CMA","Pre-COVID"
"7073","2018/2019","Thunder Bay","ON","Net intraprovincial migration",-45,"CMA","Pre-COVID"
"7074","2019/2020","Thunder Bay","ON","Net intraprovincial migration",-136,"CMA","Pre-COVID"
"7075","2020/2021","Thunder Bay","ON","Net intraprovincial migration",-245,"CMA","COVID"
"7076","2021/2022","Thunder Bay","ON","Net intraprovincial migration",135,"CMA","COVID"
"7077","2022/2023","Thunder Bay","ON","Net intraprovincial migration",244,"CMA","Post-COVID"
"7078","2023/2024","Thunder Bay","ON","Net intraprovincial migration",163,"CMA","Post-COVID"
"7079","2017/2018","Thunder Bay","ON","Net non-permanent residents",807,"CMA","Pre-COVID"
"7080","2018/2019","Thunder Bay","ON","Net non-permanent residents",835,"CMA","Pre-COVID"
"7081","2019/2020","Thunder Bay","ON","Net non-permanent residents",538,"CMA","Pre-COVID"
"7082","2020/2021","Thunder Bay","ON","Net non-permanent residents",-529,"CMA","COVID"
"7083","2021/2022","Thunder Bay","ON","Net non-permanent residents",966,"CMA","COVID"
"7084","2022/2023","Thunder Bay","ON","Net non-permanent residents",2083,"CMA","Post-COVID"
"7085","2023/2024","Thunder Bay","ON","Net non-permanent residents",1799,"CMA","Post-COVID"
"7086","2017/2018","Thunder Bay","ON","Residual deviation",541,"CMA","Pre-COVID"
"7087","2018/2019","Thunder Bay","ON","Residual deviation",558,"CMA","Pre-COVID"
"7088","2019/2020","Thunder Bay","ON","Residual deviation",597,"CMA","Pre-COVID"
"7089","2020/2021","Thunder Bay","ON","Residual deviation",625,"CMA","COVID"
"7090","2017/2018","Winnipeg","MB","Net emigration",911,"CMA","Pre-COVID"
"7091","2018/2019","Winnipeg","MB","Net emigration",600,"CMA","Pre-COVID"
"7092","2019/2020","Winnipeg","MB","Net emigration",736,"CMA","Pre-COVID"
"7093","2020/2021","Winnipeg","MB","Net emigration",774,"CMA","COVID"
"7094","2021/2022","Winnipeg","MB","Net emigration",1050,"CMA","COVID"
"7095","2022/2023","Winnipeg","MB","Net emigration",1266,"CMA","Post-COVID"
"7096","2023/2024","Winnipeg","MB","Net emigration",1297,"CMA","Post-COVID"
"7097","2017/2018","Winnipeg","MB","Returning emigrants",1088,"CMA","Pre-COVID"
"7098","2018/2019","Winnipeg","MB","Returning emigrants",1247,"CMA","Pre-COVID"
"7099","2019/2020","Winnipeg","MB","Returning emigrants",738,"CMA","Pre-COVID"
"7100","2020/2021","Winnipeg","MB","Returning emigrants",833,"CMA","COVID"
"7101","2021/2022","Winnipeg","MB","Returning emigrants",946,"CMA","COVID"
"7102","2022/2023","Winnipeg","MB","Returning emigrants",990,"CMA","Post-COVID"
"7103","2023/2024","Winnipeg","MB","Returning emigrants",1021,"CMA","Post-COVID"
"7104","2017/2018","Winnipeg","MB","Net interprovincial migration",-5134,"CMA","Pre-COVID"
"7105","2018/2019","Winnipeg","MB","Net interprovincial migration",-5603,"CMA","Pre-COVID"
"7106","2019/2020","Winnipeg","MB","Net interprovincial migration",-6615,"CMA","Pre-COVID"
"7107","2020/2021","Winnipeg","MB","Net interprovincial migration",-2163,"CMA","COVID"
"7108","2021/2022","Winnipeg","MB","Net interprovincial migration",-5315,"CMA","COVID"
"7109","2022/2023","Winnipeg","MB","Net interprovincial migration",-7743,"CMA","Post-COVID"
"7110","2023/2024","Winnipeg","MB","Net interprovincial migration",-3679,"CMA","Post-COVID"
"7111","2017/2018","Winnipeg","MB","Net intraprovincial migration",770,"CMA","Pre-COVID"
"7112","2018/2019","Winnipeg","MB","Net intraprovincial migration",501,"CMA","Pre-COVID"
"7113","2019/2020","Winnipeg","MB","Net intraprovincial migration",564,"CMA","Pre-COVID"
"7114","2020/2021","Winnipeg","MB","Net intraprovincial migration",359,"CMA","COVID"
"7115","2021/2022","Winnipeg","MB","Net intraprovincial migration",-483,"CMA","COVID"
"7116","2022/2023","Winnipeg","MB","Net intraprovincial migration",712,"CMA","Post-COVID"
"7117","2023/2024","Winnipeg","MB","Net intraprovincial migration",426,"CMA","Post-COVID"
"7118","2017/2018","Winnipeg","MB","Net non-permanent residents",4825,"CMA","Pre-COVID"
"7119","2018/2019","Winnipeg","MB","Net non-permanent residents",2555,"CMA","Pre-COVID"
"7120","2019/2020","Winnipeg","MB","Net non-permanent residents",-891,"CMA","Pre-COVID"
"7121","2020/2021","Winnipeg","MB","Net non-permanent residents",265,"CMA","COVID"
"7122","2021/2022","Winnipeg","MB","Net non-permanent residents",3801,"CMA","COVID"
"7123","2022/2023","Winnipeg","MB","Net non-permanent residents",21472,"CMA","Post-COVID"
"7124","2023/2024","Winnipeg","MB","Net non-permanent residents",16107,"CMA","Post-COVID"
"7125","2017/2018","Winnipeg","MB","Residual deviation",-349,"CMA","Pre-COVID"
"7126","2018/2019","Winnipeg","MB","Residual deviation",-261,"CMA","Pre-COVID"
"7127","2019/2020","Winnipeg","MB","Residual deviation",-144,"CMA","Pre-COVID"
"7128","2020/2021","Winnipeg","MB","Residual deviation",-239,"CMA","COVID"
"7129","2017/2018","Regina","SK","Net emigration",193,"CMA","Pre-COVID"
"7130","2018/2019","Regina","SK","Net emigration",227,"CMA","Pre-COVID"
"7131","2019/2020","Regina","SK","Net emigration",273,"CMA","Pre-COVID"
"7132","2020/2021","Regina","SK","Net emigration",91,"CMA","COVID"
"7133","2021/2022","Regina","SK","Net emigration",292,"CMA","COVID"
"7134","2022/2023","Regina","SK","Net emigration",352,"CMA","Post-COVID"
"7135","2023/2024","Regina","SK","Net emigration",359,"CMA","Post-COVID"
"7136","2017/2018","Regina","SK","Returning emigrants",234,"CMA","Pre-COVID"
"7137","2018/2019","Regina","SK","Returning emigrants",256,"CMA","Pre-COVID"
"7138","2019/2020","Regina","SK","Returning emigrants",241,"CMA","Pre-COVID"
"7139","2020/2021","Regina","SK","Returning emigrants",148,"CMA","COVID"
"7140","2021/2022","Regina","SK","Returning emigrants",222,"CMA","COVID"
"7141","2022/2023","Regina","SK","Returning emigrants",267,"CMA","Post-COVID"
"7142","2023/2024","Regina","SK","Returning emigrants",278,"CMA","Post-COVID"
"7143","2017/2018","Regina","SK","Net interprovincial migration",-2718,"CMA","Pre-COVID"
"7144","2018/2019","Regina","SK","Net interprovincial migration",-3250,"CMA","Pre-COVID"
"7145","2019/2020","Regina","SK","Net interprovincial migration",-3811,"CMA","Pre-COVID"
"7146","2020/2021","Regina","SK","Net interprovincial migration",-2597,"CMA","COVID"
"7147","2021/2022","Regina","SK","Net interprovincial migration",-3893,"CMA","COVID"
"7148","2022/2023","Regina","SK","Net interprovincial migration",-3193,"CMA","Post-COVID"
"7149","2023/2024","Regina","SK","Net interprovincial migration",-2842,"CMA","Post-COVID"
"7150","2017/2018","Regina","SK","Net intraprovincial migration",946,"CMA","Pre-COVID"
"7151","2018/2019","Regina","SK","Net intraprovincial migration",1023,"CMA","Pre-COVID"
"7152","2019/2020","Regina","SK","Net intraprovincial migration",815,"CMA","Pre-COVID"
"7153","2020/2021","Regina","SK","Net intraprovincial migration",624,"CMA","COVID"
"7154","2021/2022","Regina","SK","Net intraprovincial migration",253,"CMA","COVID"
"7155","2022/2023","Regina","SK","Net intraprovincial migration",387,"CMA","Post-COVID"
"7156","2023/2024","Regina","SK","Net intraprovincial migration",364,"CMA","Post-COVID"
"7157","2017/2018","Regina","SK","Net non-permanent residents",180,"CMA","Pre-COVID"
"7158","2018/2019","Regina","SK","Net non-permanent residents",772,"CMA","Pre-COVID"
"7159","2019/2020","Regina","SK","Net non-permanent residents",-44,"CMA","Pre-COVID"
"7160","2020/2021","Regina","SK","Net non-permanent residents",-169,"CMA","COVID"
"7161","2021/2022","Regina","SK","Net non-permanent residents",765,"CMA","COVID"
"7162","2022/2023","Regina","SK","Net non-permanent residents",4027,"CMA","Post-COVID"
"7163","2023/2024","Regina","SK","Net non-permanent residents",4067,"CMA","Post-COVID"
"7164","2017/2018","Regina","SK","Residual deviation",-1360,"CMA","Pre-COVID"
"7165","2018/2019","Regina","SK","Residual deviation",-1364,"CMA","Pre-COVID"
"7166","2019/2020","Regina","SK","Residual deviation",-1299,"CMA","Pre-COVID"
"7167","2020/2021","Regina","SK","Residual deviation",-1206,"CMA","COVID"
"7168","2017/2018","Saskatoon","SK","Net emigration",189,"CMA","Pre-COVID"
"7169","2018/2019","Saskatoon","SK","Net emigration",239,"CMA","Pre-COVID"
"7170","2019/2020","Saskatoon","SK","Net emigration",267,"CMA","Pre-COVID"
"7171","2020/2021","Saskatoon","SK","Net emigration",378,"CMA","COVID"
"7172","2021/2022","Saskatoon","SK","Net emigration",377,"CMA","COVID"
"7173","2022/2023","Saskatoon","SK","Net emigration",249,"CMA","Post-COVID"
"7174","2023/2024","Saskatoon","SK","Net emigration",258,"CMA","Post-COVID"
"7175","2017/2018","Saskatoon","SK","Returning emigrants",387,"CMA","Pre-COVID"
"7176","2018/2019","Saskatoon","SK","Returning emigrants",439,"CMA","Pre-COVID"
"7177","2019/2020","Saskatoon","SK","Returning emigrants",380,"CMA","Pre-COVID"
"7178","2020/2021","Saskatoon","SK","Returning emigrants",246,"CMA","COVID"
"7179","2021/2022","Saskatoon","SK","Returning emigrants",526,"CMA","COVID"
"7180","2022/2023","Saskatoon","SK","Returning emigrants",484,"CMA","Post-COVID"
"7181","2023/2024","Saskatoon","SK","Returning emigrants",495,"CMA","Post-COVID"
"7182","2017/2018","Saskatoon","SK","Net interprovincial migration",-2993,"CMA","Pre-COVID"
"7183","2018/2019","Saskatoon","SK","Net interprovincial migration",-3125,"CMA","Pre-COVID"
"7184","2019/2020","Saskatoon","SK","Net interprovincial migration",-3836,"CMA","Pre-COVID"
"7185","2020/2021","Saskatoon","SK","Net interprovincial migration",-2845,"CMA","COVID"
"7186","2021/2022","Saskatoon","SK","Net interprovincial migration",-3879,"CMA","COVID"
"7187","2022/2023","Saskatoon","SK","Net interprovincial migration",-2705,"CMA","Post-COVID"
"7188","2023/2024","Saskatoon","SK","Net interprovincial migration",-2686,"CMA","Post-COVID"
"7189","2017/2018","Saskatoon","SK","Net intraprovincial migration",2307,"CMA","Pre-COVID"
"7190","2018/2019","Saskatoon","SK","Net intraprovincial migration",2017,"CMA","Pre-COVID"
"7191","2019/2020","Saskatoon","SK","Net intraprovincial migration",2233,"CMA","Pre-COVID"
"7192","2020/2021","Saskatoon","SK","Net intraprovincial migration",1299,"CMA","COVID"
"7193","2021/2022","Saskatoon","SK","Net intraprovincial migration",1996,"CMA","COVID"
"7194","2022/2023","Saskatoon","SK","Net intraprovincial migration",2172,"CMA","Post-COVID"
"7195","2023/2024","Saskatoon","SK","Net intraprovincial migration",1914,"CMA","Post-COVID"
"7196","2017/2018","Saskatoon","SK","Net non-permanent residents",-138,"CMA","Pre-COVID"
"7197","2018/2019","Saskatoon","SK","Net non-permanent residents",402,"CMA","Pre-COVID"
"7198","2019/2020","Saskatoon","SK","Net non-permanent residents",76,"CMA","Pre-COVID"
"7199","2020/2021","Saskatoon","SK","Net non-permanent residents",-203,"CMA","COVID"
"7200","2021/2022","Saskatoon","SK","Net non-permanent residents",1495,"CMA","COVID"
"7201","2022/2023","Saskatoon","SK","Net non-permanent residents",4079,"CMA","Post-COVID"
"7202","2023/2024","Saskatoon","SK","Net non-permanent residents",4531,"CMA","Post-COVID"
"7203","2017/2018","Saskatoon","SK","Residual deviation",-2228,"CMA","Pre-COVID"
"7204","2018/2019","Saskatoon","SK","Residual deviation",-2249,"CMA","Pre-COVID"
"7205","2019/2020","Saskatoon","SK","Residual deviation",-2253,"CMA","Pre-COVID"
"7206","2020/2021","Saskatoon","SK","Residual deviation",-2029,"CMA","COVID"
"7207","2017/2018","Lethbridge","AB","Net emigration",67,"CMA","Pre-COVID"
"7208","2018/2019","Lethbridge","AB","Net emigration",31,"CMA","Pre-COVID"
"7209","2019/2020","Lethbridge","AB","Net emigration",44,"CMA","Pre-COVID"
"7210","2020/2021","Lethbridge","AB","Net emigration",63,"CMA","COVID"
"7211","2021/2022","Lethbridge","AB","Net emigration",186,"CMA","COVID"
"7212","2022/2023","Lethbridge","AB","Net emigration",115,"CMA","Post-COVID"
"7213","2023/2024","Lethbridge","AB","Net emigration",112,"CMA","Post-COVID"
"7214","2017/2018","Lethbridge","AB","Returning emigrants",155,"CMA","Pre-COVID"
"7215","2018/2019","Lethbridge","AB","Returning emigrants",188,"CMA","Pre-COVID"
"7216","2019/2020","Lethbridge","AB","Returning emigrants",121,"CMA","Pre-COVID"
"7217","2020/2021","Lethbridge","AB","Returning emigrants",73,"CMA","COVID"
"7218","2021/2022","Lethbridge","AB","Returning emigrants",139,"CMA","COVID"
"7219","2022/2023","Lethbridge","AB","Returning emigrants",113,"CMA","Post-COVID"
"7220","2023/2024","Lethbridge","AB","Returning emigrants",120,"CMA","Post-COVID"
"7221","2017/2018","Lethbridge","AB","Net interprovincial migration",272,"CMA","Pre-COVID"
"7222","2018/2019","Lethbridge","AB","Net interprovincial migration",160,"CMA","Pre-COVID"
"7223","2019/2020","Lethbridge","AB","Net interprovincial migration",124,"CMA","Pre-COVID"
"7224","2020/2021","Lethbridge","AB","Net interprovincial migration",136,"CMA","COVID"
"7225","2021/2022","Lethbridge","AB","Net interprovincial migration",435,"CMA","COVID"
"7226","2022/2023","Lethbridge","AB","Net interprovincial migration",1080,"CMA","Post-COVID"
"7227","2023/2024","Lethbridge","AB","Net interprovincial migration",1189,"CMA","Post-COVID"
"7228","2017/2018","Lethbridge","AB","Net intraprovincial migration",650,"CMA","Pre-COVID"
"7229","2018/2019","Lethbridge","AB","Net intraprovincial migration",360,"CMA","Pre-COVID"
"7230","2019/2020","Lethbridge","AB","Net intraprovincial migration",510,"CMA","Pre-COVID"
"7231","2020/2021","Lethbridge","AB","Net intraprovincial migration",429,"CMA","COVID"
"7232","2021/2022","Lethbridge","AB","Net intraprovincial migration",254,"CMA","COVID"
"7233","2022/2023","Lethbridge","AB","Net intraprovincial migration",290,"CMA","Post-COVID"
"7234","2023/2024","Lethbridge","AB","Net intraprovincial migration",289,"CMA","Post-COVID"
"7235","2017/2018","Lethbridge","AB","Net non-permanent residents",133,"CMA","Pre-COVID"
"7236","2018/2019","Lethbridge","AB","Net non-permanent residents",374,"CMA","Pre-COVID"
"7237","2019/2020","Lethbridge","AB","Net non-permanent residents",70,"CMA","Pre-COVID"
"7238","2020/2021","Lethbridge","AB","Net non-permanent residents",-135,"CMA","COVID"
"7239","2021/2022","Lethbridge","AB","Net non-permanent residents",538,"CMA","COVID"
"7240","2022/2023","Lethbridge","AB","Net non-permanent residents",1755,"CMA","Post-COVID"
"7241","2023/2024","Lethbridge","AB","Net non-permanent residents",2669,"CMA","Post-COVID"
"7242","2017/2018","Lethbridge","AB","Residual deviation",-260,"CMA","Pre-COVID"
"7243","2018/2019","Lethbridge","AB","Residual deviation",-261,"CMA","Pre-COVID"
"7244","2019/2020","Lethbridge","AB","Residual deviation",-263,"CMA","Pre-COVID"
"7245","2020/2021","Lethbridge","AB","Residual deviation",-166,"CMA","COVID"
"7246","2017/2018","Calgary","AB","Net emigration",3309,"CMA","Pre-COVID"
"7247","2018/2019","Calgary","AB","Net emigration",2908,"CMA","Pre-COVID"
"7248","2019/2020","Calgary","AB","Net emigration",2754,"CMA","Pre-COVID"
"7249","2020/2021","Calgary","AB","Net emigration",2685,"CMA","COVID"
"7250","2021/2022","Calgary","AB","Net emigration",3102,"CMA","COVID"
"7251","2022/2023","Calgary","AB","Net emigration",2930,"CMA","Post-COVID"
"7252","2023/2024","Calgary","AB","Net emigration",3016,"CMA","Post-COVID"
"7253","2017/2018","Calgary","AB","Returning emigrants",3859,"CMA","Pre-COVID"
"7254","2018/2019","Calgary","AB","Returning emigrants",3956,"CMA","Pre-COVID"
"7255","2019/2020","Calgary","AB","Returning emigrants",3214,"CMA","Pre-COVID"
"7256","2020/2021","Calgary","AB","Returning emigrants",2774,"CMA","COVID"
"7257","2021/2022","Calgary","AB","Returning emigrants",4095,"CMA","COVID"
"7258","2022/2023","Calgary","AB","Returning emigrants",4033,"CMA","Post-COVID"
"7259","2023/2024","Calgary","AB","Returning emigrants",4146,"CMA","Post-COVID"
"7260","2017/2018","Calgary","AB","Net interprovincial migration",-1893,"CMA","Pre-COVID"
"7261","2018/2019","Calgary","AB","Net interprovincial migration",104,"CMA","Pre-COVID"
"7262","2019/2020","Calgary","AB","Net interprovincial migration",803,"CMA","Pre-COVID"
"7263","2020/2021","Calgary","AB","Net interprovincial migration",-2322,"CMA","COVID"
"7264","2021/2022","Calgary","AB","Net interprovincial migration",6124,"CMA","COVID"
"7265","2022/2023","Calgary","AB","Net interprovincial migration",20381,"CMA","Post-COVID"
"7266","2023/2024","Calgary","AB","Net interprovincial migration",20859,"CMA","Post-COVID"
"7267","2017/2018","Calgary","AB","Net intraprovincial migration",2444,"CMA","Pre-COVID"
"7268","2018/2019","Calgary","AB","Net intraprovincial migration",2535,"CMA","Pre-COVID"
"7269","2019/2020","Calgary","AB","Net intraprovincial migration",3047,"CMA","Pre-COVID"
"7270","2020/2021","Calgary","AB","Net intraprovincial migration",1953,"CMA","COVID"
"7271","2021/2022","Calgary","AB","Net intraprovincial migration",2416,"CMA","COVID"
"7272","2022/2023","Calgary","AB","Net intraprovincial migration",479,"CMA","Post-COVID"
"7273","2023/2024","Calgary","AB","Net intraprovincial migration",-729,"CMA","Post-COVID"
"7274","2017/2018","Calgary","AB","Net non-permanent residents",-721,"CMA","Pre-COVID"
"7275","2018/2019","Calgary","AB","Net non-permanent residents",1809,"CMA","Pre-COVID"
"7276","2019/2020","Calgary","AB","Net non-permanent residents",701,"CMA","Pre-COVID"
"7277","2020/2021","Calgary","AB","Net non-permanent residents",-1833,"CMA","COVID"
"7278","2021/2022","Calgary","AB","Net non-permanent residents",7188,"CMA","COVID"
"7279","2022/2023","Calgary","AB","Net non-permanent residents",38362,"CMA","Post-COVID"
"7280","2023/2024","Calgary","AB","Net non-permanent residents",44190,"CMA","Post-COVID"
"7281","2017/2018","Calgary","AB","Residual deviation",-2546,"CMA","Pre-COVID"
"7282","2018/2019","Calgary","AB","Residual deviation",-2571,"CMA","Pre-COVID"
"7283","2019/2020","Calgary","AB","Residual deviation",-2517,"CMA","Pre-COVID"
"7284","2020/2021","Calgary","AB","Residual deviation",-2719,"CMA","COVID"
"7285","2017/2018","Red Deer","AB","Net emigration",66,"CMA","Pre-COVID"
"7286","2018/2019","Red Deer","AB","Net emigration",101,"CMA","Pre-COVID"
"7287","2019/2020","Red Deer","AB","Net emigration",74,"CMA","Pre-COVID"
"7288","2020/2021","Red Deer","AB","Net emigration",52,"CMA","COVID"
"7289","2021/2022","Red Deer","AB","Net emigration",175,"CMA","COVID"
"7290","2022/2023","Red Deer","AB","Net emigration",126,"CMA","Post-COVID"
"7291","2023/2024","Red Deer","AB","Net emigration",128,"CMA","Post-COVID"
"7292","2017/2018","Red Deer","AB","Returning emigrants",87,"CMA","Pre-COVID"
"7293","2018/2019","Red Deer","AB","Returning emigrants",85,"CMA","Pre-COVID"
"7294","2019/2020","Red Deer","AB","Returning emigrants",61,"CMA","Pre-COVID"
"7295","2020/2021","Red Deer","AB","Returning emigrants",77,"CMA","COVID"
"7296","2021/2022","Red Deer","AB","Returning emigrants",119,"CMA","COVID"
"7297","2022/2023","Red Deer","AB","Returning emigrants",109,"CMA","Post-COVID"
"7298","2023/2024","Red Deer","AB","Returning emigrants",115,"CMA","Post-COVID"
"7299","2017/2018","Red Deer","AB","Net interprovincial migration",76,"CMA","Pre-COVID"
"7300","2018/2019","Red Deer","AB","Net interprovincial migration",-52,"CMA","Pre-COVID"
"7301","2019/2020","Red Deer","AB","Net interprovincial migration",-130,"CMA","Pre-COVID"
"7302","2020/2021","Red Deer","AB","Net interprovincial migration",-249,"CMA","COVID"
"7303","2021/2022","Red Deer","AB","Net interprovincial migration",153,"CMA","COVID"
"7304","2022/2023","Red Deer","AB","Net interprovincial migration",958,"CMA","Post-COVID"
"7305","2023/2024","Red Deer","AB","Net interprovincial migration",1021,"CMA","Post-COVID"
"7306","2017/2018","Red Deer","AB","Net intraprovincial migration",-163,"CMA","Pre-COVID"
"7307","2018/2019","Red Deer","AB","Net intraprovincial migration",-258,"CMA","Pre-COVID"
"7308","2019/2020","Red Deer","AB","Net intraprovincial migration",-289,"CMA","Pre-COVID"
"7309","2020/2021","Red Deer","AB","Net intraprovincial migration",-159,"CMA","COVID"
"7310","2021/2022","Red Deer","AB","Net intraprovincial migration",-104,"CMA","COVID"
"7311","2022/2023","Red Deer","AB","Net intraprovincial migration",9,"CMA","Post-COVID"
